date,Month Day,Week day,Hour,Minute,DLR Open,DCA Open,DLR Close,DCA Close,Wait Ride 0,Open Ride 0,Wait Ride 1,Open Ride 1,Wait Ride 2,Open Ride 2,Wait Ride 3,Open Ride 3,Wait Ride 4,Open Ride 4
2017-11-01,17,6,8,0,8,8,0,23,5,1,5,1,5,1,10,1,5,1
2017-11-01,17,6,8,15,8,8,0,23,7,1,6,1,6,1,12,1,5,1
2017-11-01,17,6,8,30,8,8,0,23,10,1,8,1,7,1,16,1,35,1
2017-11-01,17,6,8,45,8,8,0,23,14,1,9,1,8,1,19,1,16,1
2017-11-01,17,6,9,0,8,8,0,23,10,1,8,1,9,1,22,1,22,1
2017-11-01,17,6,9,15,8,8,0,23,7,1,6,1,6,1,25,1,29,1
2017-11-01,17,6,9,30,8,8,0,23,10,1,8,1,7,1,29,1,35,1
2017-11-01,17,6,9,45,8,8,0,23,14,1,9,1,8,1,33,1,16,1
2017-11-01,17,6,10,0,8,8,0,23,10,1,9,1,9,1,34,1,22,1
2017-11-01,17,6,10,15,8,8,0,23,7,1,8,1,10,1,29,1,29,1
2017-11-01,17,6,10,30,8,8,0,23,10,1,7,1,16,1,25,1,35,1
2017-11-01,17,6,10,45,8,8,0,23,14,1,6,1,24,1,38,1,16,1
2017-11-01,17,6,11,0,8,8,0,23,17,1,9,1,27,1,51,1,22,1
2017-11-01,17,6,11,15,8,8,0,23,19,1,8,1,29,1,56,1,29,1
2017-11-01,17,6,11,30,8,8,0,23,17,1,7,1,27,1,46,1,35,1
2017-11-01,17,6,11,45,8,8,0,23,18,1,6,1,28,1,35,1,24,1
2017-11-01,17,6,12,0,8,8,0,23,17,1,9,1,29,1,23,1,29,1
2017-11-01,17,6,12,15,8,8,0,23,19,1,8,1,29,1,35,1,40,1
2017-11-01,17,6,12,30,8,8,0,23,17,1,7,1,27,1,48,1,50,1
2017-11-01,17,6,12,45,8,8,0,23,18,1,6,1,28,1,52,1,37,1
2017-11-01,17,6,13,0,8,8,0,23,17,1,9,1,29,1,45,1,29,1
2017-11-01,17,6,13,15,8,8,0,23,19,1,8,1,29,1,37,1,40,1
2017-11-01,17,6,13,30,8,8,0,23,17,1,7,1,32,1,20,1,50,1
