year,month,day_of_month,day_of_week,hour_of_day,minute,dlr_open,dca_open,dlr_close,dca_close,ride-0,wait-0,open-0,ride-1,wait-1,open-1,ride-2,wait-2,open-2,ride-3,wait-3,open-3,ride-4,wait-4,open-4
2017, 11, 17, 6, 8, 0, 08, 08, 00, 23, 353405, 5, 1, 353293, 5, 1, 353347, 5, 1, 353435, 10, 1, 353437, 5, 1
2017, 11, 17, 6, 8, 15, 08, 08, 00, 23, 353405, 7, 1, 353293, 6, 1, 353347, 6, 1, 353435, 12, 1, 353437, 5, 1
2017, 11, 17, 6, 8, 30, 08, 08, 00, 23, 353405, 10, 1, 353293, 8, 1, 353347, 7, 1, 353435, 16, 1, 353437, 35, 1
2017, 11, 17, 6, 8, 45, 08, 08, 00, 23, 353405, 14, 1, 353293, 9, 1, 353347, 8, 1, 353435, 19, 1, 353437, 16, 1
2017, 11, 17, 6, 9, 0, 08, 08, 00, 23, 353405, 10, 1, 353293, 8, 1, 353347, 9, 1, 353435, 22, 1, 353437, 22, 1
2017, 11, 17, 6, 9, 15, 08, 08, 00, 23, 353405, 7, 1, 353293, 6, 1, 353347, 6, 1, 353435, 25, 1, 353437, 29, 1
2017, 11, 17, 6, 9, 30, 08, 08, 00, 23, 353405, 10, 1, 353293, 8, 1, 353347, 7, 1, 353435, 29, 1, 353437, 35, 1
2017, 11, 17, 6, 9, 45, 08, 08, 00, 23, 353405, 14, 1, 353293, 9, 1, 353347, 8, 1, 353435, 33, 1, 353437, 16, 1
2017, 11, 17, 6, 10, 0, 08, 08, 00, 23, 353405, 10, 1, 353293, 9, 1, 353347, 9, 1, 353435, 34, 1, 353437, 22, 1
2017, 11, 17, 6, 10, 15, 08, 08, 00, 23, 353405, 7, 1, 353293, 8, 1, 353347, 10, 1, 353435, 29, 1, 353437, 29, 1
2017, 11, 17, 6, 10, 30, 08, 08, 00, 23, 353405, 10, 1, 353293, 7, 1, 353347, 16, 1, 353435, 25, 1, 353437, 35, 1
2017, 11, 17, 6, 10, 45, 08, 08, 00, 23, 353405, 14, 1, 353293, 6, 1, 353347, 24, 1, 353435, 38, 1, 353437, 16, 1
2017, 11, 17, 6, 11, 0, 08, 08, 00, 23, 353405, 17, 1, 353293, 9, 1, 353347, 27, 1, 353435, 51, 1, 353437, 22, 1
2017, 11, 17, 6, 11, 15, 08, 08, 00, 23, 353405, 19, 1, 353293, 8, 1, 353347, 29, 1, 353435, 56, 1, 353437, 29, 1
2017, 11, 17, 6, 11, 30, 08, 08, 00, 23, 353405, 17, 1, 353293, 7, 1, 353347, 27, 1, 353435, 46, 1, 353437, 35, 1
2017, 11, 17, 6, 11, 45, 08, 08, 00, 23, 353405, 18, 1, 353293, 6, 1, 353347, 28, 1, 353435, 35, 1, 353437, 24, 1
2017, 11, 17, 6, 12, 0, 08, 08, 00, 23, 353405, 17, 1, 353293, 9, 1, 353347, 29, 1, 353435, 23, 1, 353437, 29, 1
2017, 11, 17, 6, 12, 15, 08, 08, 00, 23, 353405, 19, 1, 353293, 8, 1, 353347, 29, 1, 353435, 35, 1, 353437, 40, 1
2017, 11, 17, 6, 12, 30, 08, 08, 00, 23, 353405, 17, 1, 353293, 7, 1, 353347, 27, 1, 353435, 48, 1, 353437, 50, 1
2017, 11, 17, 6, 12, 45, 08, 08, 00, 23, 353405, 18, 1, 353293, 6, 1, 353347, 28, 1, 353435, 52, 1, 353437, 37, 1
2017, 11, 17, 6, 13, 0, 08, 08, 00, 23, 353405, 17, 1, 353293, 9, 1, 353347, 29, 1, 353435, 45, 1, 353437, 29, 1
2017, 11, 17, 6, 13, 15, 08, 08, 00, 23, 353405, 19, 1, 353293, 8, 1, 353347, 29, 1, 353435, 37, 1, 353437, 40, 1
2017, 11, 17, 6, 13, 30, 08, 08, 00, 23, 353405, 17, 1, 353293, 7, 1, 353347, 32, 1, 353435, 20, 1, 353437, 50, 1
2017, 11, 17, 6, 13, 45, 08, 08, 00, 23, 353405, 18, 1, 353293, 6, 1, 353347, 34, 1, 353435, 28, 1, 353437, 37, 1
2017, 11, 17, 6, 14, 0, 08, 08, 00, 23, 353405, 17, 1, 353293, 9, 1, 353347, 44, 1, 353435, 59, 1, 353437, 32, 1
2017, 11, 17, 6, 14, 15, 08, 08, 00, 23, 353405, 19, 1, 353293, 8, 1, 353347, 34, 1, 353435, 52, 1, 353437, 33, 1
2017, 11, 17, 6, 14, 30, 08, 08, 00, 23, 353405, 19, 1, 353293, 7, 1, 353347, 27, 1, 353435, 35, 1, 353437, 38, 1
2017, 11, 17, 6, 14, 45, 08, 08, 00, 23, 353405, 16, 1, 353293, 6, 1, 353347, 29, 1, 353435, 52, 1, 353437, 31, 1
2017, 11, 17, 6, 15, 0, 08, 08, 00, 23, 353405, 18, 1, 353293, 9, 1, 353347, 33, 1, 353435, 56, 1, 353437, 37, 1
2017, 11, 17, 6, 15, 15, 08, 08, 00, 23, 353405, 17, 1, 353293, 14, 1, 353347, 37, 1, 353435, 50, 1, 353437, 34, 1
2017, 11, 17, 6, 15, 30, 08, 08, 00, 23, 353405, 19, 1, 353293, 10, 1, 353347, 39, 1, 353435, 50, 1, 353437, 32, 1
2017, 11, 17, 6, 15, 45, 08, 08, 00, 23, 353405, 16, 1, 353293, 5, 1, 353347, 33, 1, 353435, 50, 1, 353437, 31, 1
2017, 11, 17, 6, 16, 0, 08, 08, 00, 23, 353405, 18, 1, 353293, 7, 1, 353347, 25, 1, 353435, 50, 1, 353437, 21, 1
2017, 11, 17, 6, 16, 15, 08, 08, 00, 23, 353405, 17, 1, 353293, 9, 1, 353347, 27, 1, 353435, 20, 1, 353437, 18, 1
2017, 11, 17, 6, 16, 30, 08, 08, 00, 23, 353405, 19, 1, 353293, 11, 1, 353347, 29, 1, 353435, 34, 1, 353437, 15, 1
2017, 11, 17, 6, 16, 45, 08, 08, 00, 23, 353405, 16, 1, 353293, 13, 1, 353347, 34, 1, 353435, 48, 1, 353437, 6, 1
2017, 11, 17, 6, 17, 0, 08, 08, 00, 23, 353405, 18, 1, 353293, 7, 1, 353347, 46, 1, 353435, 62, 1, 353437, 11, 1
2017, 11, 17, 6, 17, 15, 08, 08, 00, 23, 353405, 17, 1, 353293, 9, 1, 353347, 35, 1, 353435, 55, 1, 353437, 9, 1
