date,wait
2018-01-01, 33
2018-01-02, 54
2018-01-03, 77
2018-01-04, 82
2018-01-05, 64
2018-01-06, 61
2018-01-07, 52
2018-01-08, 50
2018-01-09, 33
2018-01-10, 52
2018-01-11, 51
2018-01-12, 41
2018-01-13, 50
2018-01-14, 56
2018-01-15, 47
2018-01-16, 47
2018-01-17, 40
2018-01-18, 39
2018-01-19, 39
2018-01-20, 47
2018-01-21, 45
2018-01-22, 37
2018-01-23, 32
2018-01-24, 30
2018-01-25, 31
2018-01-26, 40
2018-01-27, 46
2018-01-28, 40
2018-01-29, 45
2018-01-30, 32
2018-01-31, 35
2018-02-01, 38
2018-02-02, 50
2018-02-03, 46
2018-02-04, 42
2018-02-05, 39
2018-02-06, 31
2018-02-07, 32
2018-02-08, 32
2018-02-09, 42
2018-02-10, 56
2018-02-11, 41
2018-02-12, 57
2018-02-13, 35
2018-02-14, 35
2018-02-15, 44
2018-02-16, 55
2018-02-17, 49
2018-02-18, 50
2018-02-19, 44
2018-02-20, 50
2018-02-21, 54
2018-02-22, 55
2018-02-23, 47
2018-02-24, 64
2018-02-25, 50
2018-02-26, 39
2018-02-27, 35
2018-02-28, 34
2018-03-01, 33
2018-03-02, 41
2018-03-03, 54
2018-03-04, 49
2018-03-05, 49
2018-03-06, 40
2018-03-07, 32
2018-03-08, 28
2018-03-09, 38
2018-03-10, 34
2018-03-11, 45
2018-03-12, 52
2018-03-13, 49
2018-03-14, 47
2018-03-15, 61
2018-03-16, 43
2018-03-17, 44
2018-03-18, 47
2018-03-19, 57
2018-03-20, 41
2018-03-21, 40
2018-03-22, 35
2018-03-23, 49
2018-03-24, 45
2018-03-25, 39
2018-03-26, 59
2018-03-27, 72
2018-03-28, 70
2018-03-29, 64
2018-03-30, 60
2018-03-31, 46
2018-04-01, 52
2018-04-02, 60
2018-04-03, 64
2018-04-04, 65
2018-04-05, 58
2018-04-06, 49
2018-04-07, 41
2018-04-08, 42
2018-04-09, 35
2018-04-10, 35
2018-04-11, 43
2018-04-12, 49
2018-04-13, 36
2018-04-14, 46
2018-04-15, 46
2018-04-16, 44
2018-04-17, 41
2018-04-18, 37
2018-04-19, 45
2018-04-20, 56
2018-04-21, 55
2018-04-22, 52
2018-04-23, 53
2018-04-24, 56
2018-04-25, 44
2018-04-26, 47
2018-04-27, 54
2018-04-28, 56
2018-04-29, 43
2018-04-30, 47
2018-05-01, 42
2018-05-02, 48
2018-05-03, 58
2018-05-04, 58
2018-05-05, 52
2018-05-06, 50
2018-05-07, 56
2018-05-08, 45
2018-05-09, 50
2018-05-10, 55
2018-05-11, 49
2018-05-12, 47
2018-05-13, 48
2018-05-14, 49
2018-05-15, 41
2018-05-16, 45
2018-05-17, 50
2018-05-18, 47
2018-05-19, 56
2018-05-20, 62
2018-05-21, 64
2018-05-22, 53
2018-05-23, 52
2018-05-24, 58
2018-05-25, 44
2018-05-26, 50
2018-05-27, 52
2018-05-28, 57
