year,month,date,dlr_open,dca_open,dlr_close,dca_close,weather_daily_tempHigh,weather_daily_tempLow,weather_daily_precip,parkPopulation
2017,11,17,8,8,0,23,73.36,54.98,0,247
2017,11,18,8,8,0,22,77.92,52.14,0,372
2017,11,19,8,8,0,23,76.07,50.46,0,415
2017,11,20,8,8,0,23,74.99,57.28,0,533
2017,11,21,8,8,0,23,86.61,60.89,0,504
2017,11,22,8,8,0,23,95.04,64.19,0,452
2017,11,23,8,8,0,22,92.05,58.86,0,407
2017,11,24,8,8,0,22,85.36,57.85,0,391
2017,11,25,9,9,0,22,82.55,56.53,0,299
2017,11,26,8,8,0,22,72.04,57.98,0,207
2017,11,27,9,9,21,20,66.03,48.62,0.23,317
2017,11,28,9,9,21,20,76.43,51.82,0,237
2017,11,29,9,9,21,20,73.73,51.37,0,246
2017,11,30,9,9,22,20,74.24,51.93,0,284
2017,12,1,9,9,0,22,75.19,51.89,0,314
2017,12,2,8,8,0,23,76.62,51.65,0,459
2017,12,3,8,8,0,23,69.15,50.83,0,359
2017,12,4,8,8,0,21,70.64,57.01,0,357
2017,12,5,8,8,0,21,69.79,53.76,0,316
2017,12,6,8,8,0,21,77.37,62.58,0,324
2017,12,7,8,8,0,21,78.04,53.25,0,358
2017,12,8,9,9,0,23,79.75,53.44,0,374
2017,12,9,8,8,0,23,84.06,60.07,0,502
2017,12,10,8,8,0,23,83.17,57.74,0,352
2017,12,11,8,8,0,22,82.26,51.29,0,294
2017,12,12,8,8,0,22,82.97,50.38,0,253
2017,12,13,8,8,0,22,81.4,47.74,0,273
2017,12,14,8,8,0,22,76.52,52.27,0,298
2017,12,15,9,9,0,22,80.63,52.69,0,276
2017,12,16,8,8,0,22,66.92,54.47,0,413
2017,12,17,8,8,0,22,71.71,48.08,0,268
2017,12,18,9,9,21,20,71.27,46.45,0,472
2017,12,19,9,9,21,20,69.06,45.89,0,509
2017,12,20,9,9,21,20,61.19,45.73,0,381
2017,12,21,9,9,22,20,63.31,41.07,0,507
2017,12,22,9,9,23,21,66.74,45.09,0,284
2017,12,23,8,8,0,21,67.73,46.48,0,325
2017,12,24,8,9,0,21,73.16,45.32,0,366
2017,12,25,8,8,0,22,68.64,46.76,0,447
2017,12,26,8,8,0,22,67.83,47.48,0,455
2017,12,27,8,8,0,23,76.51,47.97,0,661
2017,12,28,8,8,0,23,80.52,50.55,0,673
2017,12,29,8,8,0,22,82.28,49.29,0,567
2017,12,30,8,8,0,22,75.63,51.45,0,402
2017,12,31,8,8,2,1,68.35,47.75,0,60
2018,1,1,9,9,23,21,70.03,53.23,0,231
2018,1,2,8,8,0,21,77.83,53.96,0,428
2018,1,3,8,8,0,23,74.43,53.29,0,562
2018,1,4,8,8,0,23,76.1,54.55,0,554
2018,1,5,8,8,0,23,73.65,57.89,0,431
2018,1,6,8,8,0,22,69.44,56.06,0,441
2018,1,7,8,8,0,23,72.29,61.46,0,329
2018,1,8,9,9,21,21,66.74,54.89,0.67,322
2018,1,9,9,9,21,21,60.11,51.04,0.98,153
2018,1,10,9,9,21,21,63.41,49.25,0,325
2018,1,11,9,9,21,21,70.96,50.97,0,341
2018,1,12,9,9,0,23,73.97,54.58,0,251
2018,1,13,8,8,0,22,84.5,58.49,0,314
2018,1,14,8,8,0,23,81.72,51.36,0,291
2018,1,15,8,9,23,22,72.77,52.39,0,264
2018,1,16,10,10,21,20,71.02,52.34,0,297
2018,1,17,10,10,21,20,77.51,53.83,0,217
2018,1,18,10,10,20,22,75.41,54.88,0,255
2018,1,19,9,9,23,23,64.02,50.15,0,268
2018,1,20,8,8,0,22,63.08,42.15,0,340
2018,1,21,8,8,0,23,63.76,43.7,0,257
2018,1,22,10,10,21,21,68.99,46.35,0,253
2018,1,23,10,10,21,21,75.33,49.56,0,190
2018,1,24,10,10,21,21,76.06,47.32,0,193
2018,1,25,9,9,21,21,62.18,44.79,0,188
2018,1,26,9,9,0,23,67.16,46.66,0,197
2018,1,27,8,8,0,23,74.99,58.3,0,262
2018,1,28,8,8,0,23,85.46,67.57,0,195
2018,1,29,10,10,21,21,87.13,60.85,0,237
2018,1,30,10,10,21,21,82.09,53.68,0,192
2018,1,31,10,10,21,21,79.68,52.22,0,178
2018,2,1,9,9,21,21,80.26,53.44,0,219
2018,2,2,9,9,0,23,82.93,52.75,0,302
2018,2,3,8,8,0,23,81.44,52.14,0,304
2018,2,4,8,8,0,23,82.06,53.29,0,256
2018,2,5,10,10,20,20,76.31,53.97,0,228
2018,2,6,10,10,21,20,73.32,52,0,258
2018,2,7,10,10,21,20,83.24,52.7,0,209
2018,2,8,9,9,22,20,84.97,52.95,0,227
2018,2,9,9,9,0,23,73.19,55.71,0,279
2018,2,10,8,8,0,23,64.8,50.31,0,386
2018,2,11,8,8,0,23,71,54.42,0,269
2018,2,12,8,8,23,21,62.18,49.18,0.25,314
2018,2,13,9,9,22,20,65.55,54.43,0.22,172
2018,2,14,9,9,22,20,68.32,51.45,0,205
2018,2,15,9,9,22,20,71.69,56.74,0,299
2018,2,16,9,9,23,23,74.92,48.86,0,380
2018,2,17,8,8,23,22,74.91,49.07,0,314
2018,2,18,8,8,0,23,68.08,50.27,0,249
2018,2,19,8,8,23,21,57.31,38.08,0,241
2018,2,20,9,9,0,21,59.78,43.32,0,320
2018,2,21,9,9,0,21,58.68,43.27,0,292
2018,2,22,9,9,0,21,60.1,46.03,0,333
2018,2,23,8,8,0,23,59.08,39.66,0,308
2018,2,24,8,8,0,23,62.22,42.43,0,351
2018,2,25,8,8,0,22,69.23,43.94,0,268
2018,2,26,8,9,20,20,65.57,44.84,0.37,263
2018,2,27,8,9,20,20,55.26,40.36,0.73,179
2018,2,28,8,9,20,20,60.74,45.05,0,248
2018,3,1,8,9,20,20,62.36,50.42,0,215
2018,3,2,9,9,0,23,59.64,51.69,0.47,193
2018,3,3,8,8,0,23,60.12,42.48,0.24,279
2018,3,4,8,8,0,23,62.54,47.08,0,248
2018,3,5,9,9,23,20,72.93,52.23,0,274
2018,3,6,9,10,20,20,78.17,51.06,0,207
2018,3,7,9,10,21,20,71.61,51.01,0,193
2018,3,8,9,9,20,20,74.04,52.8,0,186
2018,3,9,9,9,0,23,69.85,57.51,0,216
2018,3,10,8,8,0,22,60.3,56.81,0.68,189
2018,3,11,8,8,0,22,68.29,57.83,0.76,230
2018,3,12,8,8,0,22,71.4,58.33,0,332
2018,3,13,8,8,0,22,69.71,55.67,0.4,301
2018,3,14,8,8,0,22,64.58,53.94,0.28,296
2018,3,15,8,8,0,22,64.08,49.71,0.6,339
2018,3,16,8,8,0,22,60.99,51.94,0.27,252
2018,3,17,8,8,0,22,61.32,45.4,0.51,257
2018,3,18,8,8,0,22,62.92,48.27,0,274
2018,3,19,8,8,0,22,73.75,54.84,0,350
2018,3,20,8,8,0,22,73,55.7,0,261
2018,3,21,8,8,0,22,69.78,62.32,0.28,224
2018,3,22,8,8,0,22,63.44,57.46,0.65,147
2018,3,23,8,8,0,22,68.26,53.21,0.48,313
2018,3,24,8,8,0,22,64.27,50.59,0,311
2018,3,25,8,9,0,22,63.13,46.84,0,228
2018,3,26,8,8,0,22,68.5,49.5,0,400
2018,3,27,8,8,0,22,75.56,50.58,0,440
2018,3,28,8,8,0,22,75.54,53.76,0,380
2018,3,29,8,8,0,22,75.98,53.46,0,416
2018,3,30,8,8,0,22,79.87,53.53,0,313
2018,3,31,8,8,0,22,73.92,55.79,0,321
2018,4,1,8,8,0,22,68.41,56.75,0,288
2018,4,2,8,8,0,22,66.44,56.95,0,333
2018,4,3,8,8,0,22,71.07,54.62,0,386
2018,4,4,8,8,0,22,69.86,56.35,0,365
2018,4,5,8,8,0,22,69.37,55.03,0,432
2018,4,6,8,8,0,22,70.77,57.8,0,311
2018,4,7,8,8,0,22,72.76,58.2,0,265
2018,4,8,8,8,0,22,75.25,55.72,0,238
2018,4,9,9,9,0,22,94.11,60.03,0,281
2018,4,10,9,9,0,22,90.16,58.57,0,251
2018,4,11,9,9,0,22,78.46,55.12,0,238
2018,4,12,9,9,0,22,70.48,51.65,0,256
2018,4,13,8,8,0,23,80.6,55.44,0,253
2018,4,14,8,8,0,23,85.74,54.66,0,313
2018,4,15,8,8,0,23,77.7,53.31,0,263
2018,4,16,9,10,23,21,64.98,46.98,0,302
2018,4,17,9,10,22,21,70.93,50.31,0,269
2018,4,18,9,9,22,20,71.82,51.09,0,242
2018,4,19,9,10,23,21,62.69,51.39,0.4,317
2018,4,20,9,9,0,23,73.55,52.86,0,361
2018,4,21,9,9,0,23,84.84,56.2,0,466
2018,4,22,8,8,0,23,83.22,56.98,0,334
2018,4,23,9,10,22,21,78.6,54.33,0,314
2018,4,24,9,10,22,21,73.69,55.67,0,331
2018,4,25,9,10,22,21,75.27,55.63,0,281
2018,4,26,9,10,22,21,71.38,56.11,0,361
2018,4,27,8,8,0,23,69.99,53.25,0,339
2018,4,28,9,9,0,23,71.27,54.89,0,410
2018,4,29,8,8,0,23,69.48,56.61,0,296
2018,4,30,9,10,22,21,65.29,54.76,0,341
2018,5,1,9,10,22,21,60.19,53.24,0,254
2018,5,2,9,10,22,21,62.21,51.21,0.32,251
2018,5,3,9,10,21,21,74.16,55.71,0,327
2018,5,4,8,8,0,21,90.76,59.5,0,401
2018,5,5,9,9,0,21,91.2,59.77,0,385
2018,5,6,8,8,0,22,81.64,56.08,0,294
2018,5,7,9,10,22,21,78,57.29,0,366
2018,5,8,9,10,22,21,79.67,59.08,0,325
2018,5,9,9,10,21,21,77.73,59.62,0,312
2018,5,10,8,9,23,21,74.8,59.58,0,318
2018,5,11,8,8,0,21,63.87,56.91,0,298
2018,5,12,9,9,0,21,65.63,58.47,0.06,342
2018,5,13,8,8,0,22,70.39,54.92,0,261
2018,5,14,9,10,0,21,70.87,55.03,0,327
2018,5,15,9,9,22,21,71.43,54.04,0,271
2018,5,16,9,9,22,21,73.41,54.39,0,283
2018,5,17,9,10,0,21,71.07,59.24,0,348
2018,5,18,8,8,0,21,68.99,59.05,0,287
2018,5,19,9,9,0,21,67.88,60.68,0,423
2018,5,20,8,8,0,22,68.11,59.51,0,336
2018,5,21,8,9,0,21,63.81,59.22,0,435
2018,5,22,9,9,23,21,66.56,59.36,0,315
2018,5,23,9,9,23,21,70.07,59.13,0,324
2018,5,24,8,8,0,22,66.24,58.73,0,356
2018,5,25,9,9,23,21,70.12,57.37,0,290
2018,5,26,9,9,23,21,69.14,57.68,0,391
2018,5,27,9,9,23,22,73.43,58.46,0,334
2018,5,28,8,8,0,22,77.14,60.44,0,281
2018,5,29,8,8,0,21,74.69,60.27,0,387
2018,5,30,8,8,0,21,70.12,61.59,0,342
2018,5,31,8,8,0,22,72.09,57.13,0,412
2018,6,1,8,8,23,21,76.54,60.59,0,304
2018,6,2,9,9,23,21,81.97,61.62,0,353
2018,6,3,8,8,23,22,85.12,60.75,0,328
2018,6,4,8,8,0,22,77.46,61.7,0,440
2018,6,5,8,8,0,21,74.64,62.74,0,398
2018,6,6,8,8,0,21,76.57,60.96,0,354
2018,6,7,8,8,0,22,79.04,60.37,0,374
2018,6,8,9,9,23,21,85.05,63.01,0,392
2018,6,9,9,9,23,21,82.61,63.04,0,382
2018,6,10,8,8,0,22,81.5,63.47,0,363
2018,6,11,8,9,0,22,85.6,64.31,0,403
2018,6,12,8,9,23,22,83.57,62.96,0,401
2018,6,13,8,9,23,22,85.14,62.86,0,345
2018,6,14,8,9,0,22,91.78,64.81,0,347
2018,6,15,9,9,23,22,81.6,63.79,0,365
2018,6,16,9,9,23,22,70.25,61.55,0,354
2018,6,17,8,8,0,22,68.72,61.16,0,248
2018,6,18,8,9,0,22,74.14,60.41,0,454
2018,6,19,8,9,0,22,78.53,62.38,0,427
2018,6,20,8,9,0,22,80.58,63.6,0,443
2018,6,21,8,9,0,22,81.58,64.52,0,402
2018,6,22,9,9,0,22,82.5,63.9,0,300
2018,6,23,9,9,0,22,72.53,63.22,0,247
2018,6,24,8,8,0,22,76.75,62.38,0,339
